ACCNTNUM,ACCNTNAME,ACCGRPNAME,UWRITRNAME,PRODID,BRANCHNAME,PRODNAME,CEDANTID,CEDANTNAME,POLICYNUM,LOBNAME,INCEPTDATE,EXPIREDATE,UNDCOVAMT,UNDCOVCUR,PARTOF,PARTOFCUR,POLICYTYPE,POLICYSTRUCTURE,MINDEDAMT,MINDEDCUR,MAXDEDAMT,MAXDEDCUR,BLANDEDAMT,BLANDEDCUR,BLANLIMAMT,BLANLIMCUR,BLANPREAMT,BLANPRECUR,COMBINEDLIM,COMBINEDLCUR,COMBINEDDED,COMBINEDDCUR,COMBINEDPREM,COMBINEDPCUR,COVBASE,LIMITGU,USERDEF1,USERDEF2,USERDEF3,USERDEF4,USERTXT1,USERTXT2,POLICYUSERTXT1,POLICYUSERTXT2,POLICYUSERTXT3,POLICYUSERTXT4
2AR 1892783_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1892783 02,,ASST,ASST,2AR 1892783_24_1,xScotia xLending,2024-12-04,2025-12-04,0,USD,97790,USD,2,1,0,USD,0,USD,0,USD,97790,USD,747,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CX8,CHO,ASIC,ASIC
2AR 1894392_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1894392 02,,ASST,ASST,2AR 1894392_24_1,xScotia xLending,2025-01-04,2026-01-04,0,USD,177287,USD,2,1,0,USD,0,USD,0,USD,177287,USD,1276,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
2AR 1897320_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1897320 02,,ASST,ASST,2AR 1897320_24_1,xScotia xLending,2024-12-24,2025-12-24,0,USD,11691,USD,2,1,0,USD,0,USD,0,USD,11691,USD,89,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1897340_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1897340 02,,ASST,ASST,2AR 1897340_24_1,xScotia xLending,2025-01-12,2026-01-12,0,USD,578391,USD,2,1,0,USD,0,USD,0,USD,578391,USD,4059,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1903380_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1903380 02,,ASST,ASST,2AR 1903380_24_1,xScotia xLending,2024-12-29,2025-12-29,0,USD,16489,USD,2,1,0,USD,0,USD,0,USD,16489,USD,126,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,05W7,CHO,ASIC,ASIC
2AR 1909611_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1909611 02,,ASST,ASST,2AR 1909611_24_1,xScotia xLending,2025-01-03,2026-01-03,0,USD,100062,USD,2,1,0,USD,0,USD,0,USD,100062,USD,764,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1910146_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1910146 02,,ASST,ASST,2AR 1910146_24_1,xScotia xLending,2025-01-16,2026-01-16,0,USD,129328,USD,2,1,0,USD,0,USD,0,USD,129328,USD,931,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1910708_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1910708 02,,ASST,ASST,2AR 1910708_24_1,xScotia xLending,2025-01-14,2026-01-14,0,USD,137305,USD,2,1,0,USD,0,USD,0,USD,137305,USD,989,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
2AR 1911831_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1911831 02,,ASST,ASST,2AR 1911831_24_1,xScotia xLending,2025-01-22,2026-01-22,0,USD,47260,USD,2,1,0,USD,0,USD,0,USD,47260,USD,361,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1914300_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1914300 02,,ASST,ASST,2AR 1914300_24_1,xScotia xLending,2024-11-05,2025-11-05,0,USD,84726,USD,2,1,0,USD,0,USD,0,USD,84726,USD,647,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
